No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV
312,AEE,US0236081024,AMEREN CORPORATION,1220,21323526,0.00045416917953196474
313,TDY,US8793601050,TELEDYNE TECHNOLOGIES INC,204,21284587.000000004,0.00045333981886798295
314,IR,US45687V1061,INGERSOLL-RAND INC,1570,21276499.000000004,0.000453167552783844
315,DTE,US2333311072,DTE ENERGY COMPANY,920,20952102,0.00044625823021999443
316,FISV,US3377381088,FISERV INC,2390,20769412,0.00044236712105687133
317,LYV,US5380341090,LIVE NATION ENTERTAINMENT IN,700,20651234,0.0004398500511642687
318,ATO,US0495601058,ATMOS ENERGY CORP,730,20445159,0.00043546086554496495
319,DXCM,US2521311074,DEXCOM INC,1700,20366117,0.00043377735221379425
320,VICI,US9256521090,VICI PROPERTIES INC,4800,20297007.000000004,0.000432305380270812
321,CNC,US15135B1017,CENTENE CORP,2060,20143102.000000004,0.0004290273620117367
322,NRG,US6293775085,NRG ENERGY INC,930,20024442,0.0004265000260147133
323,DG,US2566771059,DOLLAR GENERAL CORP,970,19877046,0.00042336064276326163
324,MTD,US5926881054,METTLER-TOLEDO INTL,89,19748356.000000004,0.00042061967807881093
325,XYL,US98419M1009,XYLEM INC,1050,19714076,0.00041988954932457216
326,CNP,US15189T1079,CENTERPOINT ENERGY INC,2900,19645609,0.0004184312726204748
327,ES,US30040W1080,EVERSOURCE ENERGY,1650,19581482,0.0004170654334541077
328,WSM,US9699041011,WILLIAMS SONOMA INC,520,19499579,0.0004153209837645392
329,OTIS,US68902V1070,OTIS WORLDWIDE CORP,1690,19472208,0.0004147380096066551
330,DOV,US2600031080,DOVER CORP,590,19349949,0.00041213401861002545
331,Q,US74743L1008,QNITY ELECTRONICS INC,920,19299000.000000004,0.0004110488572943982
332,CINF,US1720621010,CINCINNATI FINANCIAL CORP,680,19096172,0.0004067288294366175
333,AWK,US0304201033,AMERICAN WATER WORKS CO INC,860,18909769,0.0004027586371910997
334,RF,US7591EP1005,REGIONS FINANCIAL CORP,3800,18841206,0.0004012983157857069
335,HAL,US4062161017,HALLIBURTON CO,3680,18713465.000000004,0.00039857756382552024
336,FICO,US3032501047,FAIR ISAAC CORP,102,18680981,0.00039788568802468324
337,PPL,US69351T1060,PPL CORPORATION,3260,18631562.000000004,0.0003968331141359517
338,ARES,US03990B1017,ARES MANAGEMENT CORP - A,930,18552167,0.00039514208226772585
339,VRSK,US92345Y1064,VERISK ANALYTICS INC,576,18547345.000000004,0.00039503937862557487
340,HSY,US4278661081,HERSHEY CO/THE,650,18514864.000000004,0.00039434756672165346
341,DGX,US74834L1008,QUEST DIAGNOSTICS INC,490,18451781.000000004,0.00039300396368187405
342,AVB,US0534841012,AVALONBAY COMMUNITIES INC,610,18409801,0.00039210983284456536
343,CPRT,US2172041061,COPART INC,3870,18389028.000000004,0.0003916673893027977
344,SYF,US87165B1035,SYNCHRONY FINANCIAL,1480,18356088,0.0003909658011708075
345,LH,US5049221055,LABCORP HOLDINGS INC,360,18256313,0.00038884069625674204
346,CTSH,US1924461023,COGNIZANT TECH SOLUTIONS CORP,2100,18190209,0.00038743274902307246
347,CPAY,US2199481068,CORPAY INC,290,18183025.000000004,0.0003872797372094655
348,TROW,US74144T1088,T ROWE PRICE GROUP INC,940,18020441.000000004,0.00038381686517390137
349,HUBB,US4435106079,HUBBELL INC,234,17814761,0.0003794360926484693
350,FE,US3379321074,FIRSTENERGY CORP,2270,17771084,0.0003785058174559698
351,PPG,US6935061076,PPG INDUSTRIES,980,17645352.000000004,0.00037582785513018413
352,SW,IE00028FXN24,SMURFIT WESTROCK PLC,2300,17566053.000000004,0.0003741388679632538
353,PHM,US7458671010,PULTEGROUP INC,840,17380518,0.000370187163225282
354,HPQ,US40434L1052,HP INC,4000,17267757,0.0003677854698630677
355,WST,US9553061055,WEST PHARMACEUTICAL SERVICES,315,17192355.000000004,0.0003661794847893483
356,FIS,US31620M1062,FIDELITY NATIONAL INFORMATION,2260,16708451.000000002,0.0003558728271262472
357,DRI,US2371941053,DARDEN RESTAURANTS INC,500,16632109.000000002,0.00035424682101901006
358,VRSN,US92343E1029,VERISIGN INC,360,16581290.000000002,0.00035316442856972023
359,DLTR,US2567461080,DOLLAR TREE INC,800,16531016,0.00035209364406007626
360,VLTO,US92338C1036,VERALTO CORP,1084,16500422.000000002,0.00035144202331599295
361,CHD,US1713401024,CHURCH & DWIGHT CO INC,1040,16327095,0.00034775033642608845
362,IP,US4601461035,INTERNATIONAL PAPER CO,2350,16297410,0.00034711807644739604
363,EQR,US29476L1070,EQUITY RESIDENTIAL,1500,16181290.000000002,0.000344644839838814
364,OMC,US6819191064,OMNICOM GROUP,1250,15993649,0.00034064827946617403
365,STE,IE00BFY8C754,STERIS PLC,430,15978831.000000002,0.00034033267130163764
366,LUV,US8447411088,SOUTHWEST AIRLINES,2170,15903565.000000002,0.0003387295828880867
367,KHC,US5007541064,KRAFT HEINZ CO/THE,3750,15899226,0.00033863716664932816
368,TPL,US88262P1021,TEXAS PACIFIC LAND CORP,250,15840965.000000002,0.0003373962672516999
369,CMS,US1258961002,CMS ENERGY CORP,1360,15794533,0.00033640731339181623
370,ULTA,US90384S3031,ULTA BEAUTY INC,190,15779281.000000002,0.00033608246147350684
371,PFG,US74251V1026,PRINCIPAL FINANCIAL GROUP,860,15750078.000000002,0.0003354604675992352
372,FFIV,US3156161024,F5 INC,250,15619975,0.00033268940746759244
373,EXE,US1651677353,EXPAND ENERGY CORP,1050,15596430.000000002,0.0003321879231759195
374,PKG,US6951561090,PACKAGING CORP OF AMERICA,390,15584327,0.00033193014171989404
375,EXPD,US3021301094,EXPEDITORS INTERNATIONAL WASH INC,580,15568271,0.00033158816542823547
376,FSLR,US3364331070,FIRST SOLAR INC,470,15561666.000000002,0.0003314474857193164
377,NI,US65473P1057,NISOURCE INC,2130,15428975.000000002,0.0003286213038485847
378,DOW,US2605571031,DOW INC,3190,15427047,0.00032858023943090173
379,WRB,US0844231029,WR BERKLEY CORP,1295,15272756,0.0003252939997687011
380,SNA,US8330341012,SNAP-ON INC,230,15120779.000000002,0.0003220570459273088
381,KEY,US4932671088,KEYCORP,4100,14898905.000000002,0.0003173313578521061
382,EFX,US2944291051,EQUIFAX INC,526,14889805,0.0003171375372084779
383,EL,US5184391044,ESTEE LAUDER COMPANIES-CL A,1090,14869686.000000002,0.0003167090231942852
384,INCY,US45337C1027,INCYTE CORP,740,14627545,0.00031155166885705923
385,BRO,US1152361010,BROWN & BROWN INC,1280,14579490.000000002,0.0003105281467659
386,VTRS,US92556V1061,VIATRIS INC,5100,14557375,0.00031005712000394003
387,AMCR,JE00BV7DQ550,AMCOR PLC,2000,14513016.000000002,0.00030911231891265437
388,MRNA,US60770K1079,MODERNA INC,1550,14428799.000000002,0.00030731858340227755
389,IFF,US4595061015,INTERNATIONAL FLAVORS & FRAGRANCE,1120,14306909.000000002,0.00030472245172625216
390,JBHT,US4456581077,HUNT J B TRANSPORT SVCS INC,330,14278252.000000002,0.00030411208709059823
391,GPN,US37940X1028,GLOBAL PAYMENTS INC,1020,14236063.000000002,0.0003032135047681777
392,DD,US26614N2018,DUPONT DE NEMOURS INC,630,14058050,0.00029942201089629063
393,L,US5404241086,LOEWS CORP,740,13840210,0.00029478224287343913
394,CF,US1252691001,CF INDUSTRIES HOLDINGS INC,680,13745353,0.0002927618863028202
395,SBAC,US78410G1040,SBA COMMUNICATIONS CORP,470,13740435,0.0002926571379593737
396,EVRG,US30034W1062,EVERGY INC,1010,13513739,0.0002878287462420199
397,GIS,US3703341046,GENERAL MILLS,2300,13462872.000000002,0.0002867453314420824
398,CDW,US12514G1085,CDW CORPORATION,560,13100866,0.0002790349758467813
399,LNT,US0188021085,ALLIANT ENERGY CORP,1140,12988523.000000002,0.0002766421854547908
400,ZBH,US98956P1021,ZIMMER BIOMET HOLDINGS INC,850,12972676.000000002,0.0002763046606482442
401,LEN,US5260571048,LENNAR CORP-A,950,12787285,0.00027235602296221554
402,STZ,US21036P1084,CONSTELLATION BRANDS INC-A,610,12782351,0.0002722509338352198
403,BR,US11133T1034,BROADRIDGE FINANCIAL SOLUTIONS INC,510,12686064.000000002,0.0002702001197348879
404,ESS,US2971781057,ESSEX PROPERTY TRUST INC,280,12684151,0.00027015937480178234
405,FTV,US34959J1088,FORTIVE CORP,1340,12594533.000000002,0.00026825060354456647
406,IEX,US45167R1041,IDEX CORP,330,12398600,0.0002640774320975348
407,KIM,US49446R1095,KIMCO REALTY CORP,3000,12299902.000000002,0.0002619752661761274
408,BALL,US0584981064,BALL CORP,1170,12281049.000000002,0.00026157371666026794
409,CHRW,US12541W2098,C.H.ROBINSON WORLDWIDE INC,520,12278751.000000002,0.0002615247716230089
410,GPC,US3724601055,GENUINE PARTS CO,610,12238233,0.00026066177988251174
411,BBY,US0865161014,BEST BUY COMPANY INC,860,12138410.000000002,0.0002585356526177986
412,NVR,US62944T1051,NVR INC,12,12128600,0.0002583267097041731
413,TSN,US9024941034,TYSON FOODS INC-CL A,1240,12087108.000000002,0.00025744297276511627
414,WY,US9621661043,WEYERHAEUSER CO,3200,12086144,0.0002574224405562747
415,AKAM,US00971T1016,AKAMAI TECHNOLOGIES,640,11700416,0.00024920683075128723
416,INVH,US46187W1071,INVITATION HOMES INC,2400,11444550.000000002,0.00024375714802573212
417,TSCO,US8923561067,TRACTOR SUPPLY COMPANY,2350,11410075,0.00024302286597198712
418,HST,US44107P1049,HOST HOTELS & RESORTS INC,2800,11290901.000000002,0.00024048458230344462
419,SMCI,US86800U3023,SUPER MICRO COMPUTER INC,2510,11186482,0.00023826056496421334
420,PTC,US69370C1009,PTC INC,510,11172129,0.00023795486082157658
421,J,US46982L1089,JACOBS SOLUTIONS INC,520,11094502,0.00023630148553554145
422,LYB,NL0009434992,LYONDELLBASELL INDU-CL A,1140,11073865.000000002,0.0002358619386539422
423,NDSN,US6556631025,NORDSON CORP,232,11008253,0.00023446447051441162
424,MAA,US59522J1034,MID-AMERICA APARTMENT COMM,510,10927867.000000002,0.00023275233136510508
425,LVS,US5178341070,LAS VEGAS SANDS CORP,1360,10900545,0.0002321704008568405
426,TXT,US8832031012,TEXTRON INC,760,10637800.000000002,0.00022657420250408563
427,DOC,US42250P1030,HEALTHPEAK PROPERTIES INC,3000,10636450.000000002,0.00022654544889211882
428,FDXF,US3143521058,FEDEX FREIGHT HOLDING CO,478,10567163.000000002,0.0002250697070311231
429,RL,US7512121010,RALPH LAUREN CORPORATION,170,10543987,0.00022457608206005435
430,GEN,US6687711084,GEN DIGITAL INC,2400,10526517.000000002,0.00022420398902223205
431,SWK,US8545021011,STANLEY BLACK & DECKER INC,680,10442621,0.00022241709048181175
432,MAS,US5745991068,MASCO CORP,890,10314672,0.00021969190833548495
433,EG,BMG3223R1088,EVEREST GROUP LTD,170,10255736.000000002,0.00021843663213187326
434,BG,CH1300646267,BUNGE GLOBAL SA,600,10132110.000000002,0.00021580352544075572
435,COO,US2166485019,COOPER COS INC/THE,860,10041625,0.00021387628797496557
436,GL,US37959E1029,GLOBE LIFE INC,340,9998905.000000002,0.00021296639589850482
437,AIZ,US04621X1081,ASSURANT INC,220,9987334,0.0002127199454954915
438,LDOS,US5253271028,LEIDOS HOLDINGS INC,550,9936594,0.00021163923566497602
439,DECK,US2435371073,DECKERS OUTDOOR CORP,620,9933750,0.00021157866138909928
440,BAX,US0718131099,BAXTER INTERNATIONAL INC.,2300,9888298,0.00021061058052160642
441,TYL,US9022521051,TYLER TECHNOLOGIES INC,190,9872853,0.0002102816179017343
442,ALB,US0126531013,ALBEMARLE CORP,520,9841721,0.00020961853831080786
443,ZBRA,US9892071054,ZEBRA TECHNOLOGIES CORP-CL A,210,9739584.000000002,0.0002074431252252865
444,ALLE,IE00BFRT3W74,ALLEGION PLC,380,9592220,0.00020430442354093327
445,AVY,US0536111091,AVERY DENNISON CORP,339,9524907.000000002,0.0002028707258503246
446,IVZ,BMG491BT1088,INVESCO LTD,2000,9456765.000000002,0.00020141937131207106
447,APA,US03743Q1085,APA CORPORATION,1600,9342332,0.00019898206606896155
448,REG,US7588491032,REGENCY CENTERS CORP,720,9299131,0.00019806192918705185
449,TRMB,US8962391004,TRIMBLE INC,1010,9262390,0.00019727938366314628
450,GDDY,US3802371076,GODADDY INC - CLASS A,580,9259304.000000002,0.00019721365503608737
451,SJM,US8326964058,JM SMUCKER CO/THE-NEW,470,9231548,0.00019662248077404975
452,SOLV,US83444M1018,SOLVENTUM CORP,650,9069912.000000002,0.0001931798001637779
453,LII,US5261071071,LENNOX INTERNATIONAL INC,135,9057496,0.00019291535212957053
454,HAS,US4180561072,HASBRO INC,590,8963788,0.00019091946807758112
455,PNW,US7234841010,PINNACLE WEST CAPITAL CORP,550,8956283,0.0001907596192940175
456,RVTY,US7140461093,REVVITY INC,490,8941593.000000002,0.000190446737397875
457,LULU,US5500211090,LULULEMON ATHLETICA INC,460,8832930.000000002,0.00018813232722220884
458,MKC,US5797802064,MCCORMICK & CO INC.,1070,8763612,0.00018665592509308643
459,HII,US4464131063,HUNTINGTON INGALLS INDUSTRIE,170,8740436,0.0001861623001220177
460,APTV,JE00BTDN8H13,APTIV PLC,930,8682689.000000002,0.00018493234839590865
461,CSGP,US22160N1090,COSTAR GROUP INC,1800,8522660,0.0001815238952333631
462,CHTR,US16119P1084,CHARTER COMMUNICATIONS INC-A,370,8444229,0.00017985339557397885
463,FOXA,US35137L1052,FOX CORP-CLASS A,880,8319124.000000001,0.0001771887877035288
464,ECHO,US2787681061,ECHOSTAR CORP-A,600,8305688.000000001,0.00017690261471805767
465,TKO,US87256C1018,TKO GROUP HOLDINGS INC,280,8271744.000000001,0.00017617964241835297
466,ALGN,US0162551016,ALIGN TECHNOLOGY INC,296,8249655,0.00017570916942966048
467,CLX,US1890541097,CLOROX CO,530,8239616.000000001,0.0001754953490514866
468,TECH,US09073M1045,BIO TECHNE CORP,700,8103663.000000001,0.00017259968993465436
469,GNRC,US3687361044,GENERAC HOLDINGS INC,260,8019382.000000001,0.00017080459129008058
470,CPT,US1331311027,CAMDEN PROPERTY TRUST,440,8011506,0.00017063684058796902
471,PODD,US45784P1012,INSULET CORP,300,7988427.000000001,0.00017014528161716757
472,ROL,US7757111049,ROLLINS INC,1290,7951059,0.0001693493816379263
473,CRL,US1598641074,CHARLES RIVER LABORATORIES,210,7918707.000000001,0.00016866031730137062
474,UDR,US9026531049,UDR INC,1270,7817582.000000001,0.0001665064587753384
475,JKHY,US4262811015,JACK HENRY & ASSOCIATES INC,310,7684730.000000001,0.00016367684777014252
476,AES,US00130H1059,AES CORP,3180,7589681.000000001,0.00016165240179693275
477,PNR,IE00BLS09M33,PENTAIR PLC,710,7550738,0.00016082295593706353
478,BXP,US1011211018,BXP INC,650,7487222.000000001,0.00015947013044248295
479,DPZ,US25754A2015,DOMINOS PIZZA INC,130,7359771,0.0001567555551841261
480,NWSA,US65249B1098,NEWS CORP/NEW-CL A-W/I,1600,7223400.000000001,0.0001538509930970701
481,IT,US3666511072,GARTNER INC,290,7127418.000000001,0.0001518066751831455
482,FRT,US3137451015,FEDERAL REALTY INVS TRUST,350,6980311.000000001,0.00014867344733455193
483,BEN,US3546131018,FRANKLIN RESOURCES INC,1300,6930407.000000001,0.00014761054344448408
484,FDS,US3030751057,FACTSET RESEARCH SYSTEMS INC,160,6763869,0.0001440634552743149
485,SWKS,US83088M1027,SKYWORKS SOLUTIONS INC,660,6627578,0.00014116059710500504
486,UHS,US9139031002,UNIVERSAL HEALTH SERVICES-B,230,6036113,0.00012856300073319142
487,NCLH,BMG667211046,NORWEGIAN CRUISE LINE HOLDIN,2000,6017357,0.00012816351721759922
488,WYNN,US9831341071,WYNN RESORTS LTD,370,5988266,0.00012754390882817223
489,MGM,US5529531015,MGM RESORTS INTERNATIONAL,810,5944165.000000001,0.00012660460287161802
490,HSIC,US8064071025,HENRY SCHEIN INC,430,5886065,0.00012536713260845388
491,ARE,US0152711091,ALEXANDRIA REAL ESTATE EQUIT,670,5652249,0.00012038709221168996
492,TTD,US88339J1051,TRADE DESK INC/THE -CLASS A,1910,5611507,0.0001195193295015035
493,DVA,US23918K1088,DAVITA INC,140,5374541,0.00011447219734348369
494,HRL,US4404521001,HORMEL FOODS CORP,1300,5300706,0.00011289958775861754
495,MOS,US61945C1036,MOSAIC CO/THE,1400,5123432,0.00010912383382691086
496,BLDR,US12008R1077,BUILDERS FIRSTSOURCE INC,470,4986290.000000001,0.00010620285023257602
497,TAP,US60871R2094,MOLSON COORS BEVERAGE CO-B,740,4941658,0.0001052522345219815
498,FOX,US35137L2043,FOX CORP-CLASS B,580,4879009,0.00010391787523597513
499,AOS,US8318652091,SMITH (A.O.) CORP,490,4710205,0.00010032252359564539
500,ERIE,US29530P1021,ERIE INDEMNITY COMPANY-CL A,110,4131099,8.798816121664494e-05
501,BF/B,US1156372096,BROWN-FORMAN CORP-CL B,700,3243490.0000000005,6.908300213201759e-05
502,NWS,US65249B2088,NEWS CORP/NEW-CL B-W/I,500,2555448,5.442841495804213e-05
503,PSKY,US69932A2042,PARAMOUNT SKYDANCE CORP,1377,1728442,3.681403746306254e-05
504,ESU6,-,SPEMINI2609,18,1080882180,0.023021679100413386
505,-,-,FWRDUSDJPY01,-290146000,-46504020588.00001,-0.9904878243583899
506,-,-,FWRDUSDJPY01,5000000,803411500.0000001,0.01711183890420117
,,,,,,
,,,合計（Total）,,46276887831,0.9856501301659975
,,,,,,
,,,純資産総額(Total Net Assets of the Fund (NAV)),,46950623162,1
,,,,,,
※先物が組入れられている場合は、枚数です。,,,,,,
※Please note: it refers to the number of contracts in case of futures.,,,,,,
2634,NEXT FUNDS S&P 500 指数（為替ヘッジあり）連動型上場投信　（NEXT FUNDS S&P 500 (Yen-Hedged) Exchange Traded Fund）,,,,,
,"2026年7月31日現在　（as of July 31, 2026）",,,ISINコード：,JP3049260007,
